timestamp,x,y,z
0,5.37,0.34,8.44
10,5.4,0.19,8.21
20,5.44,-0.05,7.98
30,5.45,-0.16,7.91
40,5.44,-0.17,8.0
50,5.4,0.0,8.11
60,5.33,0.34,8.29
70,5.29,0.57,8.51
80,5.28,0.73,8.6
90,5.31,0.8,8.52
100,5.34,0.64,8.31
110,5.39,0.36,8.07
120,5.39,0.03,7.91
130,5.43,-0.18,7.93
140,5.42,-0.09,8.15
150,5.4,0.09,8.38
160,5.37,0.29,8.49
170,5.38,0.47,8.53
180,5.39,0.47,8.45
190,5.43,0.31,8.32
200,5.48,0.1,8.2
210,5.47,-0.15,8.11
220,5.44,-0.31,8.13
230,5.4,-0.23,8.33
240,5.34,0.05,8.59
250,5.31,0.36,8.8
260,5.33,0.66,8.88
270,5.4,0.82,8.78
280,5.45,0.65,8.53
290,5.51,0.25,8.33
300,5.64,-0.11,8.21
310,5.73,-0.33,8.2
320,5.73,-0.31,8.31
330,5.7,0.0,8.58
340,5.68,0.42,8.86
350,5.62,0.81,9.04
360,5.58,1.08,9.07
370,5.48,1.22,9.32
380,5.42,1.47,9.6
390,5.3,2.02,9.24
400,5.2,2.64,9.1
410,5.05,3.27,8.49
420,4.91,3.73,7.61
430,4.83,3.93,6.81
440,4.71,3.82,6.46
450,4.71,3.63,6.42
460,4.66,3.63,6.45
470,4.55,3.75,6.24
480,4.31,3.94,5.8
490,3.95,4.16,5.17
500,3.8,4.26,4.69
510,3.51,4.53,4.48
520,3.01,4.62,4.26
530,2.46,4.32,4.02
540,1.84,4.24,3.63
550,1.15,4.08,0.54
560,1.09,3.42,-0.44
570,1.07,3.07,0.17
580,0.99,2.21,-1.1
590,0.95,1.05,-2.52
600,0.89,0.09,-3.37
610,0.96,-0.43,-3.68
620,1.02,-0.78,-3.55
630,0.57,-1.24,-2.53
640,0.28,-3.57,0.13
650,-0.32,-6.73,1.03
660,-0.85,-9.44,2.7
670,-1.01,-10.86,6.16
680,-0.82,-11.52,11.0
690,-0.76,-11.67,15.82
700,-0.32,-12.13,20.64
710,-0.9,-11.6,17.49
720,-0.97,-10.5,17.62
730,-0.93,-10.18,19.22
740,-0.89,-9.56,18.38
750,-0.78,-9.17,17.47
760,-0.86,-8.38,16.5
770,-0.96,-6.74,15.75
780,-1.02,-4.81,15.05
790,-0.94,-3.62,14.47
800,-0.76,-3.77,15.74
810,-0.79,-3.71,17.44
820,0.77,-11.05,15.07
830,1.02,-8.91,14.6
840,0.45,-6.85,14.74
850,0.0,-7.38,13.19
860,-1.03,-7.49,13.95
870,-1.59,-5.6,17.84
880,-1.67,-3.7,24.66
890,-1.79,-4.01,21.83
900,-1.6,-2.55,21.16
910,-1.4,-2.11,18.21
920,-0.84,-1.89,16.01
930,-0.88,-1.99,13.63
940,-0.93,-2.48,11.04
950,-1.44,-2.24,10.22
960,-1.38,0.1,12.23
970,-0.93,0.92,17.25
980,-0.9,2.28,18.27
990,-1.99,5.77,18.74
1000,-2.15,9.17,18.91
1010,-1.85,10.25,17.65
1020,-1.84,10.63,16.33
1030,-1.27,10.48,15.16
1040,-0.93,9.96,13.89
1050,-0.56,9.33,11.81
1060,-0.83,10.43,6.39
1070,0.3,9.17,4.78
1080,1.08,9.46,5.04
1090,1.47,10.41,6.54
1100,1.68,10.33,8.29
1110,1.77,9.53,10.17
1120,1.95,9.16,11.13
1130,1.88,8.37,11.06
1140,1.64,7.48,9.03
1150,1.86,6.28,6.7
1160,2.02,4.21,7.21
1170,2.08,3.16,4.78
1180,2.72,1.84,7.18
1190,2.3,4.07,9.25
1200,2.05,5.36,10.08
1210,2.14,4.89,10.26
1220,2.38,4.6,9.82
1230,1.7,6.72,6.62
1240,1.91,6.45,3.78
1250,2.26,6.07,3.18
1260,2.17,6.19,3.3
1270,2.57,5.29,4.58
1280,2.7,3.72,4.33
1290,3.03,2.12,4.14
1300,3.14,2.0,5.13
1310,3.38,3.75,6.12
1320,3.71,3.85,4.22
1330,3.53,4.67,2.74
1340,3.51,4.63,2.54
1350,3.4,3.76,3.09
1360,3.9,2.08,3.57
1370,3.49,-2.01,2.39
1380,4.79,1.98,-1.67
1390,3.97,0.25,-2.84
1400,4.49,2.37,-0.68
1410,4.0,4.54,1.31
1420,3.8,3.77,3.65
1430,3.85,2.45,4.74
1440,4.07,0.33,4.81
1450,4.23,-1.07,4.09
1460,4.41,-2.51,4.06
1470,4.77,-3.58,4.33
1480,4.74,-5.49,5.12
1490,4.93,-4.01,6.15
1500,5.23,-5.45,6.47
