timestamp,x,y,z
0,1.54,-1.74,9.63
10,1.48,-1.74,9.66
20,1.43,-1.61,9.68
30,1.45,-1.36,9.63
40,1.49,-0.91,9.49
50,1.5,-0.57,9.45
60,1.5,-0.38,9.46
70,1.47,-0.2,9.37
80,1.47,-0.1,9.31
90,1.5,-0.25,9.38
100,1.52,-0.56,9.52
110,1.53,-0.83,9.59
120,1.51,-1.13,9.6
130,1.51,-1.39,9.51
140,1.54,-1.48,9.39
150,1.53,-1.37,9.18
160,1.56,-1.27,9.05
170,1.58,-1.27,9.2
180,1.53,-1.27,9.5
190,1.51,-1.22,9.71
200,1.43,-1.07,9.9
210,1.35,-0.93,9.93
220,1.32,-0.87,9.85
230,1.31,-0.82,9.69
240,1.36,-0.82,9.63
250,1.35,-0.93,9.5
260,1.39,-1.1,9.25
270,1.43,-1.27,9.12
280,1.48,-1.49,8.91
290,1.54,-1.72,8.64
300,1.63,-2.01,8.36
310,1.65,-2.18,7.94
320,1.68,-2.28,7.52
330,1.61,-2.4,7.13
340,1.52,-2.45,6.83
350,1.47,-2.46,6.47
360,1.43,-2.39,5.97
370,1.39,-2.32,5.36
380,1.36,-2.28,4.75
390,1.34,-2.45,4.27
400,1.3,-2.72,3.76
410,1.23,-3.14,3.28
420,1.11,-3.34,2.42
430,1.25,-3.99,1.91
440,1.4,-4.45,1.82
450,1.38,-4.76,1.09
460,1.33,-4.94,1.04
470,1.14,-4.54,0.58
480,0.75,-3.44,0.76
490,0.32,-2.2,2.12
500,-0.22,-0.88,2.31
510,-0.44,0.02,2.05
520,-0.58,0.53,0.42
530,-0.6,0.39,-0.47
540,-0.78,0.08,-0.77
550,-1.48,-0.51,0.4
560,-2.42,-0.91,3.69
570,-3.62,-1.6,6.26
580,-4.65,-2.66,10.53
590,-5.23,-3.31,16.3
600,-5.46,-4.14,16.32
610,-5.14,-5.65,14.48
620,-5.17,-6.54,13.48
630,-5.23,-5.87,13.49
640,-5.28,-3.7,12.86
650,-5.43,-1.28,12.53
660,-5.63,1.52,12.7
670,-5.49,3.72,13.23
680,-5.19,4.91,13.05
690,-5.17,5.39,13.26
700,-5.32,5.37,14.56
710,-5.51,5.16,16.33
720,-5.65,4.83,18.05
730,-5.56,4.44,19.64
740,-5.49,4.07,20.93
750,-5.22,3.33,20.79
760,-4.84,2.23,19.23
770,-4.42,0.88,17.44
780,-4.05,-0.39,15.68
790,-3.77,-1.23,14.72
800,-3.58,-1.81,14.09
810,-3.46,-1.93,14.44
820,-3.5,-1.42,15.24
830,-3.6,-0.64,16.0
840,-3.57,-0.1,16.2
850,-3.45,0.19,15.84
860,-3.28,0.11,14.75
870,-3.24,-0.34,14.07
880,-3.23,-0.97,13.81
890,-3.27,-1.5,13.78
900,-3.39,-2.38,14.49
910,-3.71,-3.27,15.4
920,-4.02,-3.81,16.01
930,-4.3,-4.26,16.68
940,-4.48,-4.06,17.19
950,-4.53,-3.5,17.21
960,-4.47,-2.78,17.16
970,-4.45,-1.83,17.27
980,-4.59,-0.72,16.98
990,-4.63,-0.05,15.91
1000,-4.46,0.36,14.49
1010,-4.34,0.62,13.16
1020,-4.2,0.75,12.5
1030,-4.11,0.89,12.16
1040,-3.89,1.19,11.81
1050,-3.64,1.54,11.15
1060,-3.33,1.72,10.57
1070,-2.99,1.75,9.94
1080,-2.77,1.62,9.68
1090,-2.58,1.34,9.61
1100,-2.33,0.75,9.54
1110,-2.04,-0.1,9.14
1120,-1.8,-0.92,8.39
1130,-1.63,-1.25,7.62
1140,-1.47,-1.08,7.1
1150,-1.37,-0.76,6.66
1160,-1.28,-0.27,6.48
1170,-1.15,0.37,6.53
1180,-0.95,0.81,6.74
1190,-0.99,1.36,7.05
1200,-0.96,1.66,7.34
1210,-0.79,1.91,6.83
1220,-0.49,1.93,5.89
1230,-0.17,1.8,4.71
1240,0.13,1.47,3.88
1250,1.22,-0.62,-0.62
1260,0.62,1.62,3.31
1270,0.78,1.83,4.1
1280,1.0,2.27,4.56
1290,1.21,2.48,4.85
1300,1.4,2.31,5.07
1310,1.56,2.02,4.96
1320,1.71,1.7,5.02
1330,1.84,1.35,5.07
1340,1.89,0.89,5.03
1350,1.97,0.77,4.92
1360,2.13,0.9,4.65
1370,2.25,0.96,4.9
1380,2.34,0.95,5.38
1390,2.32,1.0,5.91
1400,2.27,1.0,6.35
1410,2.31,1.09,6.56
1420,2.35,1.4,6.56
1430,2.38,1.36,6.84
1440,2.46,0.92,7.15
1450,2.47,0.35,7.42
1460,2.42,-0.27,7.71
1470,2.47,-0.76,7.85
1480,2.42,-0.9,7.77
1490,2.38,-0.95,7.89
1500,2.42,-0.86,8.04
