timestamp,x,y,z
0,2.47,-1.2,9.79
10,2.46,-1.22,9.96
20,2.46,-1.24,9.97
30,2.46,-1.27,9.94
40,2.46,-1.27,9.85
50,2.43,-1.25,9.76
60,2.39,-1.19,9.7
70,2.36,-1.14,9.77
80,2.36,-1.04,9.85
90,2.33,-0.94,9.97
100,2.33,-0.88,10.01
110,2.35,-0.87,9.97
120,2.38,-0.91,9.95
130,2.42,-0.91,9.85
140,2.47,-0.86,9.72
150,2.56,-0.85,9.46
160,2.63,-0.88,9.24
170,2.74,-1.11,8.9
180,3.15,-1.22,8.59
190,2.48,-1.29,7.39
200,2.31,-1.32,7.49
210,2.72,-1.32,8.93
220,2.69,-1.29,9.11
230,2.53,-1.24,9.4
240,2.47,-1.06,9.78
250,2.39,-0.81,9.97
260,2.35,-0.62,10.07
270,2.32,-0.44,10.04
280,2.24,-0.21,10.07
290,2.23,-0.02,10.13
300,2.18,0.03,9.93
310,2.17,-0.06,9.63
320,2.23,-0.12,9.45
330,2.19,-0.21,9.33
340,2.2,-0.45,9.34
350,2.33,-0.83,8.99
360,2.4,-1.29,8.94
370,2.45,-1.7,8.96
380,2.48,-2.01,8.78
390,2.49,-2.31,8.9
400,2.44,-2.53,8.68
410,2.4,-2.66,8.57
420,2.35,-2.95,8.47
430,2.29,-3.39,8.41
440,2.31,-3.86,8.51
450,2.3,-4.29,8.45
460,2.23,-4.62,8.26
470,2.15,-4.99,7.99
480,2.07,-5.3,7.97
490,1.88,-5.67,8.13
500,1.75,-6.35,8.51
510,1.75,-7.46,9.06
520,1.76,-8.69,9.17
530,1.68,-9.65,8.94
540,1.58,-10.52,8.6
550,1.54,-10.82,8.33
560,1.35,-11.19,7.68
570,1.32,-11.69,7.31
580,1.39,-12.14,7.22
590,1.29,-12.24,6.88
600,1.11,-12.11,6.42
610,0.93,-11.84,6.29
620,0.63,-11.36,6.22
630,0.24,-10.53,5.92
640,-0.13,-9.47,5.81
650,-0.36,-8.37,6.28
660,-0.6,-7.09,6.76
670,-0.88,-5.74,6.97
680,-1.2,-4.41,7.44
690,-1.38,-3.26,8.19
700,-1.47,-2.34,9.2
710,-1.39,-1.63,9.67
720,-1.34,-1.18,9.85
730,-1.25,-0.91,10.06
740,-1.18,-0.64,9.88
750,-1.11,-0.06,9.63
760,-1.08,0.78,9.25
770,-0.92,1.73,9.28
780,-0.55,2.64,9.48
790,-0.23,3.66,9.5
800,-0.06,4.86,9.25
810,0.04,6.04,8.46
820,0.15,7.03,7.59
830,0.39,7.86,6.86
840,0.44,8.81,6.34
850,0.38,9.91,6.58
860,0.39,10.75,7.41
870,0.41,11.19,8.55
880,0.38,11.51,9.81
890,0.36,11.59,10.9
900,0.33,11.44,11.47
910,0.28,11.04,11.69
920,0.27,10.48,11.62
930,0.23,9.64,11.03
940,0.21,8.47,10.33
950,0.29,7.06,9.85
960,0.41,5.95,9.57
970,0.37,5.64,9.5
980,0.13,6.16,9.25
990,0.03,7.29,8.54
1000,-0.36,8.54,7.42
1010,-1.13,9.68,6.78
1020,-1.84,10.3,6.37
1030,-2.3,10.12,6.94
1040,-2.5,8.94,8.59
1050,-2.65,7.47,10.39
1060,-2.67,6.37,11.4
1070,-2.71,5.99,10.78
1080,-3.24,6.13,8.82
1090,-3.68,5.97,7.65
1100,-4.1,5.19,8.24
1110,-4.55,3.94,9.29
1120,-4.86,2.22,10.92
1130,-5.05,-0.29,12.32
1140,-4.99,-2.09,12.59
1150,-4.76,-3.6,12.5
1160,-4.53,-4.81,11.61
1170,-4.39,-5.86,11.01
1180,-4.11,-6.46,11.24
1190,-3.98,-6.53,11.29
1200,-3.94,-6.33,11.24
1210,-4.02,-6.17,10.86
1220,-4.07,-6.74,10.01
1230,-4.2,-7.92,8.93
1240,-4.34,-9.63,7.95
1250,-4.27,-11.65,8.3
1260,-4.07,-13.3,8.78
1270,-3.96,-14.49,8.79
1280,-3.67,-15.27,9.26
1290,-3.53,-15.68,9.62
1300,-3.58,-15.97,9.87
1310,-3.48,-16.44,10.27
1320,-3.3,-16.97,10.35
1330,-3.15,-17.26,10.47
1340,-2.99,-17.23,10.24
1350,-2.97,-16.84,9.74
1360,-3.03,-16.15,9.44
1370,-3.12,-15.38,9.39
1380,-3.23,-14.68,9.41
1390,-3.29,-14.01,9.65
1400,-3.47,-13.0,9.79
1410,-3.75,-11.78,9.72
1420,-3.94,-10.39,9.76
1430,-4.15,-9.02,9.77
1440,-4.3,-7.53,9.54
1450,-4.49,-6.14,9.42
1460,-4.52,-5.04,9.32
1470,-4.51,-4.03,9.04
1480,-4.45,-3.02,8.94
1490,-4.33,-2.13,9.47
1500,-4.18,-1.36,10.02
